Sample	Unique Reads	Duplicate Reads
AOJ447_pass_17d80546_8c1c4ab7_0	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_1	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_10	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_100	909.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_11	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_12	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_13	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_14	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_15	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_16	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_17	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_18	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_19	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_2	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_20	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_21	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_22	988.0	12.0
AOJ447_pass_17d80546_8c1c4ab7_23	988.0	12.0
AOJ447_pass_17d80546_8c1c4ab7_24	995.0	5.0
AOJ447_pass_17d80546_8c1c4ab7_25	996.0	4.0
AOJ447_pass_17d80546_8c1c4ab7_26	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_27	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_28	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_29	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_3	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_30	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_31	995.0	5.0
AOJ447_pass_17d80546_8c1c4ab7_32	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_33	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_34	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_35	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_36	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_37	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_38	996.0	4.0
AOJ447_pass_17d80546_8c1c4ab7_39	974.0	26.0
AOJ447_pass_17d80546_8c1c4ab7_4	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_40	998.0	2.0
AOJ447_pass_17d80546_8c1c4ab7_41	990.0	10.0
AOJ447_pass_17d80546_8c1c4ab7_42	996.0	4.0
AOJ447_pass_17d80546_8c1c4ab7_43	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_44	996.0	4.0
AOJ447_pass_17d80546_8c1c4ab7_45	1000.0	0.0
AOJ447_pass_17d80546_8c1c4ab7_46	1000.0	0.0
