Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
AOJ447_pass_17d80546_8c1c4ab7_0	AOJ447_pass_17d80546_8c1c4ab7_0.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	141-5210	44.0	99.9	2017.656	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_1	AOJ447_pass_17d80546_8c1c4ab7_1.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	309-7959	44.0	100.0	2070.381	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_10	AOJ447_pass_17d80546_8c1c4ab7_10.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	204-6155	44.0	100.0	2086.979	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_100	AOJ447_pass_17d80546_8c1c4ab7_100.fastq	Conventional base calls	Sanger / Illumina 1.9	911.0	0.0	444-5904	44.0	99.78046103183314	2077.6531284302964	pass	fail	fail	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_11	AOJ447_pass_17d80546_8c1c4ab7_11.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	238-6086	44.0	99.8	2095.544	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_12	AOJ447_pass_17d80546_8c1c4ab7_12.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	192-5423	44.0	100.0	2097.913	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_13	AOJ447_pass_17d80546_8c1c4ab7_13.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	182-8072	44.0	100.0	2089.137	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_14	AOJ447_pass_17d80546_8c1c4ab7_14.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	235-5585	44.0	99.8	2124.594	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_15	AOJ447_pass_17d80546_8c1c4ab7_15.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	284-6018	44.0	100.0	2090.11	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_16	AOJ447_pass_17d80546_8c1c4ab7_16.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	229-4962	44.0	99.7	2073.582	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_17	AOJ447_pass_17d80546_8c1c4ab7_17.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	142-4904	44.0	100.0	2083.253	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_18	AOJ447_pass_17d80546_8c1c4ab7_18.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	214-5362	44.0	99.9	2076.782	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_19	AOJ447_pass_17d80546_8c1c4ab7_19.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	141-6440	44.0	99.8	2130.521	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_2	AOJ447_pass_17d80546_8c1c4ab7_2.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	218-6270	44.0	100.0	2090.536	pass	fail	warn	fail	fail	pass	warn	pass	pass	pass
AOJ447_pass_17d80546_8c1c4ab7_20	AOJ447_pass_17d80546_8c1c4ab7_20.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	213-6827	44.0	99.9	2107.915	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_21	AOJ447_pass_17d80546_8c1c4ab7_21.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	143-5991	44.0	99.8	2107.397	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_22	AOJ447_pass_17d80546_8c1c4ab7_22.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	129-5182	44.0	98.7	1906.792	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_23	AOJ447_pass_17d80546_8c1c4ab7_23.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	219-8729	44.0	98.7	1973.366	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_24	AOJ447_pass_17d80546_8c1c4ab7_24.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	192-5229	44.0	99.5	2054.266	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_25	AOJ447_pass_17d80546_8c1c4ab7_25.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	246-5346	44.0	99.6	2113.174	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
AOJ447_pass_17d80546_8c1c4ab7_26	AOJ447_pass_17d80546_8c1c4ab7_26.fastq	Conventional base calls	Sanger / Illumina 1.9	1000.0	0.0	155-8968	44.0	99.9	2105.185	pass	fail	warn	fail	fail	pass	warn	pass	warn	pass
